epoch,loss,train_accuracy
1,0.7039864659309387,0.48594018816947937
2,0.6911810636520386,0.4869042634963989
3,0.6896774172782898,0.48914021253585815
4,0.687967836856842,0.49254274368286133
5,0.686670184135437,0.49551594257354736
6,0.6851826906204224,0.4991615116596222
7,0.6836948394775391,0.5022075772285461
8,0.6819003224372864,0.5061853528022766
9,0.6805901527404785,0.5088101625442505
10,0.6794302463531494,0.5116212964057922
11,0.6778613924980164,0.5152102112770081
12,0.6764635443687439,0.5175190567970276
13,0.6753407120704651,0.5202978253364563
14,0.6746636033058167,0.520135760307312
15,0.6735906004905701,0.5237084627151489
16,0.6718658208847046,0.5254664421081543
17,0.6706253886222839,0.5276213884353638
18,0.6706029176712036,0.528706967830658
19,0.6691500544548035,0.5307889580726624
20,0.667926013469696,0.5334867238998413
21,0.6675719022750854,0.5332841873168945
22,0.6663432121276855,0.5375049710273743
23,0.6648105978965759,0.5383961200714111
24,0.6639723777770996,0.5407454967498779
25,0.6635612845420837,0.5409237146377563
26,0.6627641320228577,0.5424953699111938
27,0.661792516708374,0.5436457395553589
28,0.6611814498901367,0.5446341037750244
29,0.6615607738494873,0.5459060072898865
30,0.660136342048645,0.5467890501022339
31,0.6587780714035034,0.5480771660804749
32,0.6587713360786438,0.5501105785369873
33,0.6584053635597229,0.549746036529541
34,0.6572301387786865,0.5510503053665161
35,0.657357394695282,0.551941454410553
36,0.6569035053253174,0.5518361330032349
37,0.6558694839477539,0.5538777112960815
38,0.6549697518348694,0.5548984408378601
39,0.655947208404541,0.5542989373207092
40,0.6541089415550232,0.555789589881897
41,0.6550268530845642,0.5562108755111694
42,0.6537172794342041,0.5579121112823486
43,0.653731107711792,0.5579769611358643
44,0.6530700325965881,0.5579445362091064
45,0.6530796885490417,0.5584143996238708
46,0.6521954536437988,0.5593217611312866
47,0.6520368456840515,0.5598645210266113
48,0.6516684889793396,0.5609338879585266
49,0.6514658331871033,0.5605045557022095
50,0.6518376469612122,0.560634195804596
51,0.6507012844085693,0.5614604949951172
52,0.6506219506263733,0.5616387128829956
53,0.6497739553451538,0.5635263323783875
54,0.6492102742195129,0.5637126564979553
55,0.6502048969268799,0.5629025101661682
56,0.6500710844993591,0.5626999735832214
57,0.6485843062400818,0.564223051071167
58,0.6483659744262695,0.5652762055397034
59,0.6481757164001465,0.5650088787078857
60,0.6479314565658569,0.5651708841323853
61,0.6482778191566467,0.5667587518692017
62,0.6481395959854126,0.5659323930740356
63,0.6473110914230347,0.5660215616226196
64,0.6461451053619385,0.5701937079429626
65,0.6466251611709595,0.5678686499595642
66,0.6476993560791016,0.565924346446991
67,0.6462653279304504,0.567949652671814
68,0.6463034749031067,0.5690757036209106
69,0.6453601121902466,0.5681684017181396
70,0.6459066867828369,0.5694159865379333
71,0.6458322405815125,0.5707364678382874
72,0.6457111239433289,0.5691729187965393
73,0.6443110108375549,0.5715141892433167
74,0.6445794701576233,0.5708417892456055
75,0.6437246203422546,0.5727618336677551
76,0.643398642539978,0.5722028017044067
77,0.6441826224327087,0.5721623301506042
78,0.6435319781303406,0.571830153465271
79,0.6436687111854553,0.5728509426116943
80,0.643398642539978,0.5724458694458008
81,0.6427618861198425,0.5724944472312927
82,0.6421169638633728,0.5748762488365173
83,0.6426007151603699,0.5750706791877747
84,0.6425865888595581,0.5743334889411926
85,0.642702579498291,0.5736772418022156
86,0.6427081823348999,0.5740499496459961
87,0.6426976323127747,0.573806881904602
88,0.6423711180686951,0.573409914970398
89,0.6410549879074097,0.5755486488342285
90,0.6415451765060425,0.5754271149635315
91,0.6418520212173462,0.5747628211975098
92,0.6415463089942932,0.5759537220001221
93,0.6415430903434753,0.5739365220069885
94,0.640878438949585,0.5750058889389038
95,0.6405344009399414,0.5763506889343262
96,0.6414086222648621,0.5755243301391602
97,0.6406241059303284,0.5768124461174011
98,0.6413547396659851,0.5765208005905151
99,0.6398593187332153,0.5778818130493164
100,0.6394869089126587,0.5778656601905823
